"","STATIONID","LAT","LONG","STATION"
"169","USW00000111","64.3700",-161.2239,"SHAKTOOLIK AP"
"170","USW00000113","66.8181",-161.0219,"ROBERT CURTIS MEMORIAL AP"
"171","USW00000130","28.9500",-98.5169,"PLEASANTON MUNI AP"
"172","USW00000132","44.0331",-89.3,"WAUTOMA MUNI AP"
"173","USW00000133","35.6000",-92.45,"CLINTON MUNI AP"
"174","USW00000153","37.4000",-77.5169,"CHESTERFIELD CO AP"
"175","USW00000154","36.7831",-76.45,"HAMPTON ROADS EXECUTIVE AP"
"176","USW00000157","40.7500",-106.2669,"WALDEN JACKSON COUNTY AP"
"177","USW00000160","40.0331",-105.2169,"BOULDER MUNI AP"
"178","USW00000166","30.5000",-97.9669,"LAGO VISTA RUSTY ALLEN AP"
"179","USW00000176","32.7169",-98.8919,"STEPHENS COUNTY AP"
"180","USW00000177","29.8500",-98.85,"CASTROVILLE MUNI AIRPORT"
"181","USW00000209","33.6000",-97.7831,"BOWIE MUNI AP"
"182","USW00000225","30.5331",-98.3669,"HORSESHOE BAY RESORT AP"
"183","USW00000229","31.1061",-98.1961,"LAMPASAS AP"
"184","USW00000230","30.3950",-97.5669,"AUSTIN EXECUTIVE AP"
"185","USW00000263","29.7239",-98.695,"BOERNE STAGE FIELD AP"
"186","USW00000270","28.2089",-100.0189,"FAITH RCH AP"
"187","USW00000349","32.3311",-102.53,"ANDREWS COUNTY AP"
"188","USW00000351","30.8789",-96.9711,"CAMERON MUNI AP"
"189","USW00000357","31.6661",-98.1489,"HAMILTON MUNI AP"
"190","USW00000362","31.4169",-97.8,"GATESVILLE MUNI AP"
"191","USW00000373","33.6169",-92.7669,"HARRELL FIELD AP"
"192","USW00000393","65.2331",-166.35,"TELLER AP"
"193","USW00000428","34.0997",-93.0661,"DEXTER B FLORENCE MEM FLD AP"
"194","USW00000448","32.9306",-96.4356,"RALPH M HALL ROCKWALL MUNI AP"
"195","USW00000461","31.6411",-96.5144,"MEXIA LIMESTONE COUNTY AP"
"196","USW00000471","29.6342",-104.3614,"PRESIDIO LELY INTL AP"
"197","USW00000477","29.5292",-97.4642,"ROGER M DREYER MEM AP"
"198","USW00000490","66.8881",-157.1625,"SHUNGNAK AP"
"199","USW00003012","36.4500",-105.6667,"TAOS MUNI AP"
"200","USW00003013","38.0717",-102.6875,"LAMAR MUNI AP"
"201","USW00003016","39.5278",-107.7197,"RIFLE GARFIELD CO AP"
"202","USW00003017","39.8467",-104.6561,"DENVER INTL AP"
"203","USW00003024","35.6950",-101.3956,"BORGER HUTCHINSON CO AP"
