"","STATIONID","STATION"
"498","USW00014757","POUGHKEEPSIE AP"
"499","USW00014758","NEW HAVEN TWEED AP"
"500","USW00014762","PITTSBURGH ALLEGHENY CO AP"
"501","USW00014763","PITTSFIELD MUNI AP"
"502","USW00014768","ROCHESTER GTR INTL"
"503","USW00014770","SELINSGROVE PENN VALLEY AP"
"504","USW00014771","SYRACUSE HANCOCK INTL AP"
"505","USW00014774","UTICA AP"
"506","USW00014775","WESTFIELD BARNES MUNI AP"
"507","USW00014776","LEBANON CAA AP"
"508","USW00014777","WILKES-BARRE/SCRANTON INTL AP"
"509","USW00014778","WILLIAMSPORT RGNL AP"
"510","USW00014780","LAKEHURST AP"
"511","USW00014787","NEWPORT STATE AP"
"512","USW00014792","TRENTON-MERCER AP"
"513","USW00014794","WESTERLY STATE AP"
"514","USW00014808","OSCODA WURTSMITH AP"
"515","USW00014812","MERCER WB AP"
"516","USW00014813","AKRON FULTON INTL AP"
"517","USW00014815","BATTLE CREEK KELLOGG AP"
"518","USW00014816","BRADFORD FAA AP"
"519","USW00014819","CHICAGO MIDWAY AP"
"520","USW00014821","JOHN GLENN INTL AP"
"521","USW00014822","DETROIT CITY AP"
"522","USW00014823","EAST LIVERPOOL WB AP"
"523","USW00014825","FINDLAY AP"
"524","USW00014827","FT WAYNE INTL AP"
"525","USW00014829","GOSHEN MUNI AP"
"526","USW00014830","GRAND RAPIDS WB AP"
"527","USW00014835","LAFAYETTE PURDUE UNIV AP"
"528","USW00014836","LANSING CAPITAL CITY AP"
"529","USW00014837","MADISON DANE CO RGNL AP"
"530","USW00014839","MILWAUKEE MITCHELL AP"
"531","USW00014840","MUSKEGON CO AP"
"532","USW00014841","PELLSTON RGNL AP"
"533","USW00014842","GENERAL WAYNE A DOWNING INTL A"
"534","USW00014843","PERRY CAA AP"
"535","USW00014844","ROCKFORD CAA AP"
"536","USW00014845","SAGINAW MBS INTL AP"
"537","USW00014848","S BEND AP"
"538","USW00014849","TOLEDO WB AP"
"539","USW00014850","TRAVERSE CY CHERRY CAPITAL AP"
"540","USW00014852","YOUNGSTOWN-WARREN RGNL AP"
"541","USW00014853","DETROIT WILLOW RUN AP"
"542","USW00014858","HANCOCK HOUGHTON CO AP"
"543","USW00014860","ERIE INTL AP"
"544","USW00014880","CHICAGO WAUKEGAN RGNL AP"
"545","USW00014891","MANSFIELD LAHM RGNL AP"
"546","USW00014894","WHEELING OHIO CO AP"
"547","USW00014895","AKRON CANTON AP"
"548","USW00014905","KEARNEY MUNI AP"
"549","USW00014914","FARGO HECTOR INTL AP"
"550","USW00014916","GRAND FORKS INTL AP"
"551","USW00014918","INTL FALLS INTL AP"
"552","USW00014919","JAMESTOWN MUNI AP"
"553","USW00014920","LA CROSSE MUNI AP"
"554","USW00014921","LONE ROCK TRI CO AP"
"555","USW00014922","MINNEAPOLIS-ST PAUL INTL AP"
"556","USW00014923","MOLINE QUAD CITY INTL AP"
"557","USW00014925","ROCHESTER INTL AP"
"558","USW00014926","ST CLOUD RGNL AP"
"559","USW00014927","ST PAUL DWTN AP"
"560","USW00014928","WILLMAR AP"
"561","USW00014930","ATLANTIC CAA AP"
"562","USW00014931","BURLINGTON MUNI AP"
"563","USW00014933","DES MOINES INTL AP"
"564","USW00014935","GRAND IS CNTRL NE RGNL AP"
"565","USW00014936","HURON RGNL AP"
"566","USW00014937","IOWA CITY MUNI AP"
